omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.375,0.125,4,4,1.0,17,200,0.55,0.0003539431095123291
0.375,0.125,4,5,1.25,17,200,0.755,0.0010232841968536377
0.375,0.125,4,6,1.5,17,200,0.945,0.0026668310165405273
0.375,0.125,4,7,1.75,17,200,0.995,0.0040213954448699955
0.375,0.125,4,8,2.0,17,200,1.0,0.006394894123077393
0.375,0.125,4,9,2.25,17,200,1.0,0.010102094411849975
0.375,0.125,4,10,2.5,17,200,1.0,0.01537050724029541
0.375,0.125,4,11,2.75,17,200,1.0,0.021489259004592896
0.375,0.125,4,12,3.0,17,200,1.0,0.028878930807113647
0.375,0.125,5,5,1.0,17,200,0.435,0.0005156099796295166
0.375,0.125,5,7,1.25,17,200,0.895,0.0033897757530212402
0.375,0.125,5,8,1.5,17,200,0.98,0.006004630327224731
0.375,0.125,5,9,1.75,17,200,0.995,0.009975141286849976
0.375,0.125,5,10,2.0,17,200,0.995,0.015711429119110106
0.375,0.125,5,12,2.25,17,200,1.0,0.03132428288459778
0.375,0.125,5,13,2.5,17,200,1.0,0.041172679662704464
0.375,0.125,5,14,2.75,17,200,1.0,0.05245062828063965
0.375,0.125,5,15,3.0,17,200,1.0,0.06637839078903199
0.375,0.125,6,6,1.0,17,200,0.41,0.0007235109806060791
0.375,0.125,6,8,1.25,17,200,0.85,0.005106950998306274
0.375,0.125,6,9,1.5,17,200,0.98,0.008818824291229248
0.375,0.125,6,11,1.75,17,200,0.995,0.021842333078384398
0.375,0.125,6,12,2.0,17,200,1.0,0.03143773078918457
0.375,0.125,6,14,2.25,17,200,1.0,0.05576971530914307
0.375,0.125,6,15,2.5,17,200,1.0,0.07263584733009339
0.375,0.125,6,17,2.75,17,200,1.0,0.10927710294723511
0.375,0.125,6,18,3.0,17,200,1.0,0.1324511742591858
0.375,0.125,7,7,1.0,17,200,0.39,0.001023331880569458
0.375,0.125,7,9,1.25,17,200,0.79,0.007698116302490235
0.375,0.125,7,11,1.5,17,200,0.975,0.020784696340560915
0.375,0.125,7,13,1.75,17,200,1.0,0.042874833345413206
0.375,0.125,7,14,2.0,17,200,1.0,0.0582962167263031
0.375,0.125,7,16,2.25,17,200,1.0,0.09480223774909974
0.375,0.125,7,18,2.5,17,200,1.0,0.143574880361557
0.375,0.125,7,20,2.75,17,200,0.995,0.1945338499546051
0.375,0.125,7,21,3.0,17,200,1.0,0.22114849209785462
0.375,0.125,8,8,1.0,17,200,0.365,0.0013514995574951173
0.375,0.125,8,10,1.25,17,200,0.725,0.010491539239883423
0.375,0.125,8,12,1.5,17,200,0.965,0.027839554548263548
0.375,0.125,8,14,1.75,17,200,1.0,0.05512247443199158
0.375,0.125,8,16,2.0,17,200,1.0,0.09630712866783142
0.375,0.125,8,18,2.25,17,200,1.0,0.14789055824279784
0.375,0.125,8,20,2.5,17,200,1.0,0.21065431833267212
0.375,0.125,8,22,2.75,17,200,1.0,0.27642510175704954
0.375,0.125,8,24,3.0,17,200,1.0,0.3402117693424225
0.375,0.125,9,9,1.0,17,200,0.29,0.0017881882190704346
0.375,0.125,9,12,1.25,17,200,0.87,0.023541587591171264
0.375,0.125,9,14,1.5,17,200,0.95,0.05104455351829529
0.375,0.125,9,16,1.75,17,200,0.995,0.09342379927635193
0.375,0.125,9,18,2.0,17,200,0.995,0.1484750270843506
0.375,0.125,9,21,2.25,17,200,0.995,0.25270264863967895
0.375,0.125,9,23,2.5,17,200,1.0,0.33111565113067626
0.375,0.125,9,25,2.75,17,200,1.0,0.4153311121463776
0.375,0.125,9,27,3.0,17,200,1.0,0.5033765840530395
0.375,0.125,10,10,1.0,17,200,0.31,0.0023110783100128173
0.375,0.125,10,13,1.25,17,200,0.78,0.029670108556747437
0.375,0.125,10,15,1.5,17,200,0.93,0.06372510075569153
0.375,0.125,10,18,1.75,17,200,0.975,0.1464991819858551
0.375,0.125,10,20,2.0,17,200,0.99,0.2156984853744507
0.375,0.125,10,23,2.25,17,200,0.985,0.35117647767066956
0.375,0.125,10,25,2.5,17,200,0.985,0.44043073773384095
0.375,0.125,10,28,2.75,17,200,1.0,0.5807961881160736
0.375,0.125,10,30,3.0,17,200,1.0,0.6804825341701508
0.375,0.125,11,11,1.0,17,200,0.235,0.002963416576385498
0.375,0.125,11,14,1.25,17,200,0.685,0.036980541944503786
0.375,0.125,11,17,1.5,17,200,0.92,0.1052418863773346
0.375,0.125,11,20,1.75,17,200,0.985,0.21614534735679627
0.375,0.125,11,22,2.0,17,200,0.98,0.30594550728797915
0.375,0.125,11,25,2.25,17,200,0.99,0.45932345032691957
0.375,0.125,11,28,2.5,17,200,0.995,0.6248491740226746
0.375,0.125,11,31,2.75,17,200,0.985,0.7762661051750183
0.375,0.125,11,33,3.0,17,200,0.995,0.8898216438293457
0.375,0.125,12,12,1.0,17,200,0.225,0.0038432061672210695
0.375,0.125,12,15,1.25,17,200,0.66,0.04515074491500855
0.375,0.125,12,18,1.5,17,200,0.86,0.12773497343063356
0.375,0.125,12,21,1.75,17,200,0.93,0.2560668075084686
0.375,0.125,12,24,2.0,17,200,0.96,0.4203492271900177
0.375,0.125,12,27,2.25,17,200,0.98,0.5973655807971955
0.375,0.125,12,30,2.5,17,200,0.985,0.7716378355026245
0.375,0.125,12,33,2.75,17,200,0.99,0.9448665189743042
0.375,0.125,12,36,3.0,17,200,0.98,1.1288977730274201
0.375,0.125,13,13,1.0,17,200,0.19,0.005123335123062134
0.375,0.125,13,17,1.25,17,200,0.68,0.08396986603736878
0.375,0.125,13,20,1.5,17,200,0.88,0.20000364184379577
0.375,0.125,13,23,1.75,17,200,0.94,0.3608600080013275
0.375,0.125,13,26,2.0,17,200,0.975,0.5494906902313232
0.375,0.125,13,30,2.25,17,200,0.945,0.8347543692588806
0.375,0.125,13,33,2.5,17,200,0.92,1.0195209503173828
0.375,0.125,13,36,2.75,17,200,0.97,1.2173414170742034
0.375,0.125,13,39,3.0,17,200,0.97,1.4543249344825744
0.375,0.125,14,14,1.0,17,200,0.14,0.007542904615402222
0.375,0.125,14,18,1.25,17,200,0.595,0.10940401196479797
