omega,tau,n,c50,m50,success_at_c50,c70,m70,success_at_c70,c80,m80,success_at_c80
0.375,0.125,4,1.0,4,0.55,1.25,5,0.755,1.5,6,0.945
0.375,0.125,5,1.25,7,0.895,1.25,7,0.895,1.25,7,0.895
0.375,0.125,6,1.25,8,0.85,1.25,8,0.85,1.25,8,0.85
0.375,0.125,7,1.25,9,0.79,1.25,9,0.79,1.5,11,0.975
0.375,0.125,8,1.25,10,0.725,1.25,10,0.725,1.5,12,0.965
0.375,0.125,9,1.25,12,0.87,1.25,12,0.87,1.25,12,0.87
0.375,0.125,10,1.25,13,0.78,1.25,13,0.78,1.5,15,0.93
0.375,0.125,11,1.25,14,0.685,1.5,17,0.92,1.5,17,0.92
0.375,0.125,12,1.25,15,0.66,1.5,18,0.86,1.5,18,0.86
0.375,0.125,13,1.25,17,0.68,1.5,20,0.88,1.5,20,0.88
0.375,0.125,14,1.25,18,0.595,1.5,21,0.78,1.75,25,0.875
0.375,0.125,15,1.25,19,0.52,1.5,23,0.79,1.75,27,0.89
0.375,0.125,16,1.5,24,0.695,1.75,28,0.8,1.75,28,0.8
0.375,0.25,4,1.25,5,0.575,1.5,6,0.865,1.5,6,0.865
0.375,0.25,5,1.25,7,0.755,1.25,7,0.755,1.5,8,0.895
0.375,0.25,6,1.25,8,0.615,1.5,9,0.875,1.5,9,0.875
0.375,0.25,7,1.25,9,0.55,1.5,11,0.885,1.5,11,0.885
0.375,0.25,8,1.5,12,0.83,1.5,12,0.83,1.5,12,0.83
0.375,0.25,9,1.25,12,0.51,1.5,14,0.845,1.5,14,0.845
0.375,0.25,10,1.5,15,0.715,1.5,15,0.715,1.75,18,0.92
0.375,0.25,11,1.5,17,0.665,1.75,20,0.865,1.75,20,0.865
0.375,0.25,12,1.5,18,0.65,1.75,21,0.78,2.0,24,0.875
0.375,0.25,13,1.5,20,0.625,1.75,23,0.705,2.25,30,0.81
0.375,0.25,14,1.75,25,0.725,1.75,25,0.725,,,
0.375,0.25,15,1.75,27,0.55,,,,,,
0.375,0.25,16,2.0,32,0.52,,,,,,
0.5,0.125,4,1.0,4,0.55,1.25,5,0.755,1.5,6,0.945
0.5,0.125,5,1.25,7,0.895,1.25,7,0.895,1.25,7,0.895
0.5,0.125,6,1.25,8,0.885,1.25,8,0.885,1.25,8,0.885
0.5,0.125,7,1.25,9,0.79,1.25,9,0.79,1.5,11,0.975
0.5,0.125,8,1.25,10,0.725,1.25,10,0.725,1.5,12,0.965
0.5,0.125,9,1.25,12,0.87,1.25,12,0.87,1.25,12,0.87
0.5,0.125,10,1.25,13,0.79,1.25,13,0.79,1.5,15,0.92
0.5,0.125,11,1.25,14,0.715,1.25,14,0.715,1.5,17,0.935
0.5,0.125,12,1.25,15,0.645,1.5,18,0.915,1.5,18,0.915
0.5,0.125,13,1.25,17,0.68,1.5,20,0.88,1.5,20,0.88
0.5,0.125,14,1.25,18,0.565,1.5,21,0.815,1.5,21,0.815
0.5,0.125,15,1.25,19,0.5,1.5,23,0.755,1.75,27,0.83
0.5,0.125,16,1.5,24,0.71,1.5,24,0.71,1.75,28,0.82
0.5,0.25,4,1.25,5,0.575,1.5,6,0.865,1.5,6,0.865
0.5,0.25,5,1.25,7,0.755,1.25,7,0.755,1.5,8,0.895
0.5,0.25,6,1.25,8,0.62,1.5,9,0.85,1.5,9,0.85
0.5,0.25,7,1.25,9,0.55,1.5,11,0.885,1.5,11,0.885
0.5,0.25,8,1.5,12,0.83,1.5,12,0.83,1.5,12,0.83
0.5,0.25,9,1.25,12,0.51,1.5,14,0.845,1.5,14,0.845
0.5,0.25,10,1.5,15,0.73,1.5,15,0.73,1.75,18,0.895
0.5,0.25,11,1.5,17,0.755,1.5,17,0.755,1.75,20,0.9
0.5,0.25,12,1.5,18,0.605,1.75,21,0.79,2.0,24,0.855
0.5,0.25,13,1.5,20,0.625,1.75,23,0.705,2.25,30,0.81
0.5,0.25,14,1.75,25,0.68,2.0,28,0.72,,,
0.5,0.25,15,1.75,27,0.51,,,,,,
0.5,0.25,16,2.0,32,0.505,,,,,,
