omega,tau,n,m,c_ratio,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,s_hat_babai,babai_secret_success,elapsed_sec
0.5,0.25,3,4,1.2,17,0,"[0, 1, -1]","[0, 1, 16]","[0, 1, 0, -1]","[2, 5, -2, -4]","[0, 1, 16]",True,0.008801937103271484
0.5,0.25,3,4,1.2,17,1,"[1, 0, -1]","[1, 0, 16]","[0, -1, 0, 0]","[-4, -3, -8, -2]","[1, 0, 16]",True,0.0014607906341552734
0.5,0.25,3,4,1.2,17,2,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[-7, -2, 6, -3]","[1, 16, 0]",True,0.00167083740234375
0.5,0.25,3,4,1.2,17,3,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[-2, 7, -8, -2]","[0, 1, 16]",True,0.0012497901916503906
0.5,0.25,3,4,1.2,17,4,"[0, -1, 1]","[0, 16, 1]","[0, 0, 1, 0]","[-2, 1, 6, 2]","[0, 16, 1]",True,0.0013108253479003906
0.5,0.25,3,4,1.2,17,5,"[0, -1, 1]","[0, 16, 1]","[-1, 1, 0, 0]","[3, 3, -5, 2]","[10, 14, 8]",False,0.0015079975128173828
0.5,0.25,3,4,1.2,17,6,"[1, 0, -1]","[1, 0, 16]","[0, -1, -1, 0]","[-1, -1, 4, 6]","[1, 0, 16]",True,0.0016639232635498047
0.5,0.25,3,4,1.2,17,7,"[1, -1, 0]","[1, 16, 0]","[0, 0, 0, 0]","[6, 6, -6, 1]","[1, 16, 0]",True,0.0014150142669677734
0.5,0.25,3,4,1.2,17,8,"[0, 1, -1]","[0, 1, 16]","[-1, 0, 0, 0]","[2, -3, 3, -6]","[0, 1, 16]",True,0.0021381378173828125
0.5,0.25,3,4,1.2,17,9,"[0, -1, 1]","[0, 16, 1]","[-1, 0, 0, -1]","[2, -8, -3, 0]","[0, 16, 1]",True,0.0007679462432861328
0.5,0.25,3,4,1.2,17,10,"[-1, 0, 1]","[16, 0, 1]","[0, 1, 0, 0]","[8, -5, 6, -6]","[8, 15, 1]",False,0.0008378028869628906
0.5,0.25,3,4,1.2,17,11,"[1, -1, 0]","[1, 16, 0]","[1, 0, 0, 0]","[0, -2, -5, -4]","[1, 16, 0]",True,0.0006849765777587891
0.5,0.25,3,4,1.2,17,12,"[0, -1, 1]","[0, 16, 1]","[1, 0, -1, 0]","[-4, 2, 6, -6]","[0, 11, 14]",False,0.0007159709930419922
0.5,0.25,3,4,1.2,17,13,"[0, -1, 1]","[0, 16, 1]","[1, 1, 0, 0]","[0, -4, -2, 3]","[12, 2, 1]",False,0.0005040168762207031
0.5,0.25,3,4,1.2,17,14,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, -1]","[-8, 5, 0, -1]","[16, 0, 1]",True,0.0006070137023925781
0.5,0.25,3,4,1.2,17,15,"[0, 1, -1]","[0, 1, 16]","[0, 1, 0, 0]","[0, -1, -7, -3]","[0, 1, 16]",True,0.0005819797515869141
0.5,0.25,3,4,1.2,17,16,"[-1, 0, 1]","[16, 0, 1]","[-1, 0, 0, 0]","[5, -6, -8, 7]","[16, 0, 1]",True,0.0005981922149658203
0.5,0.25,3,4,1.2,17,17,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[-4, -3, 6, 1]","[13, 9, 3]",False,0.0005321502685546875
0.5,0.25,3,4,1.2,17,18,"[0, 1, -1]","[0, 1, 16]","[0, -1, 0, 0]","[4, -8, 2, 2]","[12, 10, 12]",False,0.0006341934204101562
0.5,0.25,3,4,1.2,17,19,"[0, 1, -1]","[0, 1, 16]","[0, 1, 1, 0]","[1, 4, -5, 6]","[3, 5, 12]",False,0.0005280971527099609
0.5,0.25,3,4,1.2,17,20,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[-6, 5, 0, 5]","[1, 0, 16]",True,0.0006227493286132812
0.5,0.25,3,4,1.2,17,21,"[-1, 1, 0]","[16, 1, 0]","[1, 0, 0, 0]","[-9, -3, -4, 0]","[16, 1, 0]",True,0.0006871223449707031
0.5,0.25,3,4,1.2,17,22,"[-1, 0, 1]","[16, 0, 1]","[-1, 0, 0, -1]","[-3, -2, -5, 8]","[5, 7, 7]",False,0.000978231430053711
0.5,0.25,3,4,1.2,17,23,"[1, 0, -1]","[1, 0, 16]","[0, 0, 0, 0]","[-7, 8, 8, -3]","[1, 0, 16]",True,0.0006279945373535156
0.5,0.25,3,4,1.2,17,24,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[7, -4, -2, 0]","[0, 16, 1]",True,0.00060272216796875
0.5,0.25,3,4,1.2,17,25,"[-1, 0, 1]","[16, 0, 1]","[-1, 0, 0, 1]","[6, 3, -7, 3]","[16, 0, 1]",True,0.0005209445953369141
0.5,0.25,3,4,1.2,17,26,"[0, -1, 1]","[0, 16, 1]","[0, 0, 0, 0]","[1, -5, 0, 1]","[0, 16, 1]",True,0.0005612373352050781
0.5,0.25,3,4,1.2,17,27,"[-1, 1, 0]","[16, 1, 0]","[0, 1, 0, 0]","[-7, -5, -5, 5]","[4, 14, 3]",False,0.0005350112915039062
0.5,0.25,3,4,1.2,17,28,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[-8, -2, 6, 5]","[16, 0, 1]",True,0.0005970001220703125
0.5,0.25,3,4,1.2,17,29,"[1, -1, 0]","[1, 16, 0]","[-1, 0, 0, 0]","[-2, 5, 7, 4]","[1, 16, 0]",True,0.0005729198455810547
0.5,0.25,3,4,1.2,17,30,"[-1, 0, 1]","[16, 0, 1]","[0, 0, 0, 0]","[-6, -6, -6, 1]","[16, 0, 1]",True,0.0005292892456054688
0.5,0.25,3,4,1.2,17,31,"[-1, 0, 1]","[16, 0, 1]","[1, 0, 0, 1]","[0, -7, 4, 7]","[7, 6, 0]",False,0.0005741119384765625
0.5,0.25,3,4,1.2,17,32,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, 0]","[5, 1, -6, 7]","[0, 1, 16]",True,0.0005810260772705078
0.5,0.25,3,4,1.2,17,33,"[0, 1, -1]","[0, 1, 16]","[0, 0, 0, -1]","[1, -1, -5, -2]","[0, 1, 16]",True,0.0005040168762207031
0.5,0.25,3,4,1.2,17,34,"[1, 0, -1]","[1, 0, 16]","[0, 1, 1, 0]","[-1, -7, -1, -5]","[1, 0, 16]",True,0.0006487369537353516
0.5,0.25,3,4,1.2,17,35,"[1, -1, 0]","[1, 16, 0]","[0, 1, 0, 0]","[-4, -8, 5, -7]","[1, 16, 0]",True,0.0005710124969482422
