omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.5,0.25,3,4,1.2,17,200,0.715,0.0007344472408294677
0.5,0.25,3,5,1.35,17,200,0.955,0.0013390159606933593
0.5,0.25,3,6,1.7,17,200,0.98,0.0025342321395874024
0.5,0.25,4,5,1.2,17,200,0.575,0.0012171733379364013
0.5,0.25,4,6,1.3,17,200,0.865,0.0024234211444854738
0.5,0.25,4,7,1.55,17,200,0.97,0.004576458930969239
0.5,0.25,4,8,1.8,17,200,0.99,0.007816094160079955
0.5,0.25,5,6,1.2,17,200,0.34,0.0020769822597503664
0.5,0.25,5,7,1.25,17,200,0.755,0.004076498746871948
0.5,0.25,5,8,1.45,17,200,0.895,0.0073676216602325435
0.5,0.25,5,9,1.65,17,200,0.985,0.012393077611923218
0.5,0.25,5,10,1.85,17,200,0.995,0.019273802042007446
0.5,0.25,6,8,1.2,17,200,0.62,0.006570004224777222
0.5,0.25,6,9,1.35,17,200,0.85,0.011299771070480347
0.5,0.25,6,10,1.55,17,200,0.95,0.01870452642440796
0.5,0.25,6,11,1.7,17,200,0.99,0.028687828779220582
0.5,0.25,6,12,1.85,17,200,1.0,0.041622532606124876
0.5,0.25,7,9,1.2,17,200,0.55,0.012380057573318481
0.5,0.25,7,10,1.3,17,200,0.75,0.018492602109909058
0.5,0.25,7,11,1.45,17,200,0.885,0.027561190128326415
0.5,0.25,7,12,1.6,17,200,0.95,0.041192318201065066
0.5,0.25,7,13,1.75,17,200,0.985,0.058146841526031494
0.5,0.25,7,14,1.9,17,200,0.995,0.08077598690986633
0.5,0.25,8,10,1.2,17,200,0.41,0.014898475408554077
0.5,0.25,8,11,1.3,17,200,0.65,0.024677025079727175
0.5,0.25,8,12,1.4,17,200,0.83,0.03852223753929138
0.5,0.25,8,13,1.55,17,200,0.89,0.055805128812789914
0.5,0.25,8,14,1.65,17,200,0.96,0.0776013958454132
0.5,0.25,8,15,1.8,17,200,0.98,0.10456028342247009
0.5,0.25,8,16,1.9,17,200,0.98,0.13660034775733948
0.5,0.25,9,11,1.2,17,200,0.335,0.01989124059677124
0.5,0.25,9,12,1.25,17,200,0.51,0.03358963131904602
0.5,0.25,9,13,1.35,17,200,0.69,0.05083988904953003
0.5,0.25,9,14,1.45,17,200,0.845,0.07290425539016723
0.5,0.25,9,15,1.6,17,200,0.855,0.100955730676651
0.5,0.25,9,16,1.7,17,200,0.945,0.13539814829826355
0.5,0.25,9,17,1.8,17,200,0.94,0.1718961226940155
0.5,0.25,9,18,1.9,17,200,0.96,0.22696588873863222
0.5,0.25,10,12,1.2,17,200,0.25,0.03559478640556336
0.5,0.25,10,13,1.25,17,200,0.44,0.04804747700691223
0.5,0.25,10,14,1.35,17,200,0.615,0.06865078210830688
0.5,0.25,10,15,1.45,17,200,0.73,0.10685534954071045
0.5,0.25,10,16,1.55,17,200,0.795,0.1743084990978241
0.5,0.25,10,17,1.65,17,200,0.84,0.1674907946586609
0.5,0.25,10,18,1.75,17,200,0.895,0.22105059504508973
0.5,0.25,10,19,1.85,17,200,0.905,0.2770303475856781
0.5,0.25,10,20,1.95,17,200,0.95,0.33360384702682494
0.5,0.25,11,14,1.2,17,200,0.35,0.05448400378227234
0.5,0.25,11,15,1.3,17,200,0.425,0.08838938117027283
0.5,0.25,11,16,1.4,17,200,0.655,0.1225642740726471
0.5,0.25,11,17,1.5,17,200,0.755,0.16607536911964416
0.5,0.25,11,18,1.55,17,200,0.76,0.21670511484146118
0.5,0.25,11,19,1.65,17,200,0.795,0.27648462653160094
0.5,0.25,11,20,1.75,17,200,0.9,0.3405488431453705
0.5,0.25,11,21,1.85,17,200,0.875,0.40707829475402835
0.5,0.25,11,22,1.95,17,200,0.87,0.4983084070682526
0.5,0.25,12,15,1.2,17,200,0.23,0.07429802060127258
0.5,0.25,12,16,1.3,17,200,0.365,0.11256139039993286
0.5,0.25,12,17,1.35,17,200,0.495,0.15808645725250245
0.5,0.25,12,18,1.45,17,200,0.605,0.21222733974456787
0.5,0.25,12,19,1.55,17,200,0.63,0.2755963885784149
0.5,0.25,12,20,1.6,17,200,0.755,0.34670846819877627
0.5,0.25,12,21,1.7,17,200,0.79,0.42882755160331726
0.5,0.25,12,22,1.8,17,200,0.8,0.5323289942741394
0.5,0.25,12,23,1.85,17,200,0.815,0.6058925902843475
0.5,0.25,12,24,1.95,17,200,0.855,0.7107319688796997
0.5,0.25,13,16,1.2,17,200,0.195,0.09511605739593505
0.5,0.25,13,17,1.25,17,200,0.305,0.14345131039619446
0.5,0.25,13,18,1.35,17,200,0.39,0.2005802011489868
0.5,0.25,13,19,1.4,17,200,0.475,0.2594624841213226
0.5,0.25,13,20,1.5,17,200,0.625,0.3389282548427582
0.5,0.25,13,21,1.55,17,200,0.585,0.4246159029006958
0.5,0.25,13,22,1.65,17,200,0.705,0.5033125436306
0.5,0.25,13,23,1.7,17,200,0.705,0.6136297988891601
0.5,0.25,13,24,1.8,17,200,0.74,0.734852010011673
0.5,0.25,13,25,1.85,17,200,0.775,0.835079299211502
0.5,0.25,13,26,1.95,17,200,0.765,1.021060698032379
0.5,0.25,14,17,1.2,17,200,0.125,0.13824462175369262
0.5,0.25,14,18,1.25,17,200,0.21,0.20681194663047792
0.5,0.25,14,19,1.3,17,200,0.285,0.2596089291572571
0.5,0.25,14,20,1.4,17,200,0.42,0.35127843499183653
0.5,0.25,14,21,1.45,17,200,0.46,0.4478356778621674
0.5,0.25,14,22,1.55,17,200,0.505,0.5443468499183655
0.5,0.25,14,23,1.6,17,200,0.615,0.650850179195404
0.5,0.25,14,24,1.65,17,200,0.69,0.7479369771480561
0.5,0.25,14,25,1.75,17,200,0.68,0.8791441810131073
0.5,0.25,14,26,1.8,17,200,0.69,1.0078455984592438
0.5,0.25,14,27,1.9,17,200,0.685,1.155767458677292
0.5,0.25,14,28,1.95,17,200,0.72,1.325586221218109
0.5,0.25,15,18,1.2,17,200,0.14,0.20208159804344178
0.5,0.25,15,19,1.25,17,200,0.185,0.28661697268486025
0.5,0.25,15,20,1.3,17,200,0.21,0.36784847974777224
0.5,0.25,15,21,1.35,17,200,0.33,0.4789632987976074
0.5,0.25,15,22,1.45,17,200,0.355,0.6019688034057618
0.5,0.25,15,23,1.5,17,200,0.41,0.719657131433487
0.5,0.25,15,24,1.55,17,200,0.47,0.868322868347168
0.5,0.25,15,25,1.65,17,200,0.575,1.0932337248325348
0.5,0.25,15,26,1.7,17,200,0.51,1.218894089460373
0.5,0.25,15,27,1.75,17,200,0.51,1.381074652671814
0.5,0.25,15,28,1.85,17,200,0.56,1.577702707052231
0.5,0.25,15,29,1.9,17,200,0.58,1.748707720041275
0.5,0.25,15,30,1.95,17,200,0.565,1.9377386093139648
0.5,0.25,16,20,1.2,17,200,0.14,0.5728094601631164
0.5,0.25,16,21,1.3,17,200,0.185,0.7260513007640839
0.5,0.25,16,22,1.35,17,200,0.27,0.8422149538993835
0.5,0.25,16,23,1.4,17,200,0.29,1.003018797636032
0.5,0.25,16,24,1.45,17,200,0.39,1.202286616563797
0.5,0.25,16,25,1.55,17,200,0.345,1.4247257506847382
0.5,0.25,16,26,1.6,17,200,0.34,1.6777792513370513
0.5,0.25,16,27,1.65,17,200,0.405,1.8905996894836425
0.5,0.25,16,28,1.7,17,200,0.475,2.094103821516037
0.5,0.25,16,29,1.8,17,200,0.55,2.328759661912918
0.5,0.25,16,30,1.85,17,200,0.48,2.554121962785721
0.5,0.25,16,31,1.9,17,200,0.485,2.7676543414592745
0.5,0.25,16,32,1.95,17,200,0.505,3.0055995452404023
0.5,0.25,17,21,1.2,17,200,0.11,1.2034085297584534
0.5,0.25,17,22,1.25,17,200,0.15,1.4690289211273193
0.5,0.25,17,23,1.3,17,200,0.225,1.814087860584259
0.5,0.25,17,24,1.4,17,200,0.175,2.046474609375
0.5,0.25,17,25,1.45,17,200,0.28,2.461240711212158
0.5,0.25,17,26,1.5,17,200,0.315,2.7767433619499204
0.5,0.25,17,27,1.55,17,200,0.3,3.2611979126930235
0.5,0.25,17,28,1.6,17,200,0.305,3.6148083889484406
0.5,0.25,17,29,1.65,17,200,0.37,3.9816279220581055
0.5,0.25,17,30,1.75,17,200,0.405,4.426076272726059
0.5,0.25,17,31,1.8,17,200,0.36,4.871918848752975
0.5,0.25,17,32,1.85,17,200,0.44,5.305898107290268
0.5,0.25,17,33,1.9,17,200,0.4,5.758509131669999
0.5,0.25,17,34,1.95,17,200,0.4,6.209629290103912
0.5,0.25,18,22,1.2,17,200,0.06,3.2138126838207244
0.5,0.25,18,23,1.25,17,200,0.11,4.097661463022232
0.5,0.25,18,24,1.3,17,200,0.095,4.842004631757736
0.5,0.25,18,25,1.35,17,200,0.095,5.677935178279877
0.5,0.25,18,26,1.4,17,200,0.195,6.2740971314907075
0.5,0.25,18,27,1.45,17,200,0.185,7.597341467142105
0.5,0.25,18,28,1.55,17,200,0.27,8.856339462995528
0.5,0.25,18,29,1.6,17,200,0.27,17.130697659254075
0.5,0.25,18,30,1.65,17,200,0.325,8.43040775179863
0.5,0.25,18,31,1.7,17,200,0.255,10.374085075855255
0.5,0.25,18,32,1.75,17,200,0.3,11.387874411344528
