omega,tau,n,c50,m50,success_at_c50,c70,m70,success_at_c70,c80,m80,success_at_c80
0.5,0.25,3,1.2,4,0.715,1.2,4,0.715,1.35,5,0.955
0.5,0.25,4,1.2,5,0.575,1.3,6,0.865,1.3,6,0.865
0.5,0.25,5,1.25,7,0.755,1.25,7,0.755,1.45,8,0.895
0.5,0.25,6,1.2,8,0.62,1.35,9,0.85,1.35,9,0.85
0.5,0.25,7,1.2,9,0.55,1.3,10,0.75,1.45,11,0.885
0.5,0.25,8,1.3,11,0.65,1.4,12,0.83,1.4,12,0.83
0.5,0.25,9,1.25,12,0.51,1.45,14,0.845,1.45,14,0.845
0.5,0.25,10,1.35,14,0.615,1.45,15,0.73,1.65,17,0.84
0.5,0.25,11,1.4,16,0.655,1.5,17,0.755,1.75,20,0.9
0.5,0.25,12,1.45,18,0.605,1.6,20,0.755,1.8,22,0.8
0.5,0.25,13,1.5,20,0.625,1.65,22,0.705,,,
0.5,0.25,14,1.55,22,0.505,1.95,28,0.72,,,
0.5,0.25,15,1.65,25,0.575,,,,,,
0.5,0.25,16,1.8,29,0.55,,,,,,
0.5,0.25,17,,,,,,,,,
0.5,0.25,18,,,,,,,,,
0.5,0.25,19,,,,,,,,,
0.5,0.25,20,,,,,,,,,
