n,m,q,seed,source_babai_secret_success,source_exact_secret_success,source_classical_greedy_secret_success,source_varqite_primary_secret_success,source_varqite_candidate_lwe_prior_success,source_varqite_candidate_any_success,source_babai_fail_but_qite_candidate_best_fix,source_babai_fail_but_qite_candidate_any_fix,regenerated_babai_secret_success,regenerated_greedy_secret_success,validation_babai_success_match,validation_greedy_success_match,validation_w_babai_match,validation_residual_match,delta_classical_candidate_best,classical_candidate_best_energy,classical_candidate_best_lwe_prior_score,classical_candidate_best_secret_ternary_violation,classical_candidate_best_noise_ternary_violation,classical_candidate_best_secret_weight,classical_candidate_best_noise_weight,w_classical_candidate_best,s_hat_classical_candidate_best,classical_candidate_best_secret_success,classical_candidate_generated_raw,classical_candidate_topk_used,classical_candidate_any_secret_success,classical_candidate_any_geometry_improved,classical_candidate_any_matches_exact_state,classical_candidate_any_matches_exact_energy,classical_min_dist2_true_among_candidates,classical_candidate_preview_states,babai_fail_but_classical_candidate_fix,qite_candidate_success_but_classical_candidate_fail,classical_candidate_success_but_qite_candidate_fail,qite_candidate_and_classical_candidate_both_success,qite_candidate_and_classical_candidate_both_fail,dist2_true_babai,dist2_true_classical_candidate_best,classical_candidate_best_geometry_improved,elapsed_total_sec,elapsed_greedy_sec,elapsed_classical_candidate_sec
3,4,17,0,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,3,1,"[-1, 9, -1, -8]","[1, 1, 16]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0038743329932913184,2.4291977752000093e-05,0.0003345830482430756
3,4,17,2,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,10.0,0,0,2,0,"[-1, 5, -8, -6]","[16, 16, 0]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.001037334033753723,1.9167026039212942e-05,0.00012145901564508677
3,4,17,1,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,1,1,"[8, -1, -4, 5]","[1, 0, 0]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0016287090256810188,2.3875036276876926e-05,0.0004112499882467091
3,4,17,3,True,False,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,1,1,"[-1, -3, 8, -5]","[0, 16, 0]",True,1,1,True,False,False,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.001193041040096432,2.2666994482278824e-05,0.00014079100219532847
3,4,17,4,False,True,False,False,True,True,True,True,False,False,True,True,True,True,"[0, 0, 0, 0]",1.0,3021.05,3,0,3,1,"[-8, -7, 5, -5]","[8, 15, 7]",False,1,1,False,False,False,True,2,"[('(0, 0, 0, 0)', 1.0)]",False,True,False,False,False,2,2,False,0.000875165977049619,1.8791004549711943e-05,0.00011729204561561346
3,4,17,7,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,30.0,0,0,3,0,"[5, 7, 6, -4]","[16, 1, 1]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.0009354999638162553,1.7417012713849545e-05,0.00010883301729336381
3,4,17,6,False,False,False,False,True,True,True,True,False,False,True,True,True,True,"[0, 0, 0, 0]",1.0,3021.05,3,0,3,1,"[8, 3, 6, 8]","[13, 6, 2]",False,1,1,False,False,True,True,3,"[('(0, 0, 0, 0)', 1.0)]",False,True,False,False,False,3,3,False,0.0008515829686075449,1.6834004782140255e-05,0.00010475004091858864
3,4,17,5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,1.05,0,0,2,1,"[4, 2, -3, 7]","[0, 16, 16]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0008082909625954926,1.650000922381878e-05,0.00010437500895932317
3,4,17,9,False,False,False,False,True,True,True,True,False,False,True,True,True,True,"[0, 0, 0, 0]",1.0,2021.05,2,0,3,1,"[5, -5, -4, -5]","[14, 16, 11]",False,1,1,False,False,True,True,1,"[('(0, 0, 0, 0)', 1.0)]",False,True,False,False,False,1,1,False,0.0007953750318847597,1.6042031347751617e-05,0.0001010830164887011
3,4,17,8,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,30.0,0,0,1,0,"[-3, -5, 7, -6]","[0, 0, 16]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.0008460000390186906,1.6208970919251442e-05,0.00010200001997873187
3,4,17,10,True,False,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,1,1,"[-1, -4, 2, 2]","[0, 1, 0]",True,1,1,True,False,False,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.000710166001226753,1.5833997167646885e-05,9.829096961766481e-05
3,4,17,11,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,30.0,0,0,3,0,"[-8, -8, -4, 7]","[16, 16, 1]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.0008163749589584768,1.650000922381878e-05,9.950000094249845e-05
3,4,17,14,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,1,1,"[2, 6, 5, -7]","[1, 0, 0]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0011437080102041364,1.7041980754584074e-05,0.00010608305456116796
