n,m,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,residual,initial_residual_energy,s_hat_babai,babai_secret_success,delta_exact,exact_best_energy,w_exact,s_hat_exact,exact_secret_success,delta_classical,classical_best_energy,classical_num_steps,w_classical,s_hat_classical,classical_secret_success,delta_qite_primary,qite_primary_best_energy,w_qite_primary,s_hat_qite_primary,qite_primary_secret_success,delta_qite_candidate_best,qite_candidate_best_energy,qite_candidate_best_count,qite_candidate_best_prob,qite_candidate_best_lwe_prior_score,qite_candidate_best_secret_ternary_violation,qite_candidate_best_noise_ternary_violation,qite_candidate_best_secret_weight,qite_candidate_best_noise_weight,w_qite_candidate_best,s_hat_qite_candidate_best,qite_candidate_best_secret_success,qite_candidate_num_unique,qite_candidate_topk_used,qite_candidate_any_secret_success,qite_candidate_any_geometry_improved,qite_candidate_any_matches_exact_state,qite_candidate_any_matches_exact_energy,min_dist2_true_among_candidates,exact_improvable_energy,exact_improvable_state,babai_fail_but_oracle_fix,babai_fail_but_classical_fix,babai_fail_but_qite_primary_fix,babai_fail_but_qite_candidate_best_fix,babai_fail_but_qite_candidate_any_fix,classical_matches_exact_state,classical_matches_exact_energy,qite_primary_matches_exact_state,qite_primary_matches_exact_energy,qite_candidate_best_matches_exact_state,qite_candidate_best_matches_exact_energy,classical_geometry_improved,qite_primary_geometry_improved,qite_candidate_best_geometry_improved,w_true,dist2_true_babai_exp11,dist2_true_exact,dist2_true_classical,dist2_true_qite_primary,dist2_true_qite_candidate_best,elapsed_total_sec_exp11,elapsed_classical_sec,elapsed_qite_sec,elapsed_candidate_sec,qite_num_qubits,qite_num_params,decoded_top_states,qite_history_len,source_babai_secret_success,source_exact_secret_success,source_classical_greedy_secret_success,source_varqite_primary_secret_success,source_varqite_candidate_lwe_prior_success,source_varqite_candidate_any_success,source_babai_fail_but_qite_candidate_best_fix,source_babai_fail_but_qite_candidate_any_fix,regenerated_babai_secret_success,regenerated_greedy_secret_success,validation_babai_success_match,validation_greedy_success_match,validation_w_babai_match,validation_residual_match,delta_classical_candidate_best,classical_candidate_best_energy,classical_candidate_best_lwe_prior_score,classical_candidate_best_secret_ternary_violation,classical_candidate_best_noise_ternary_violation,classical_candidate_best_secret_weight,classical_candidate_best_noise_weight,w_classical_candidate_best,s_hat_classical_candidate_best,classical_candidate_best_secret_success,classical_candidate_generated_raw,classical_candidate_topk_used,classical_candidate_any_secret_success,classical_candidate_any_geometry_improved,classical_candidate_any_matches_exact_state,classical_candidate_any_matches_exact_energy,classical_min_dist2_true_among_candidates,classical_candidate_preview_states,babai_fail_but_classical_candidate_fix,qite_candidate_success_but_classical_candidate_fail,classical_candidate_success_but_qite_candidate_fail,qite_candidate_and_classical_candidate_both_success,qite_candidate_and_classical_candidate_both_fail,dist2_true_babai_classical_fair,dist2_true_classical_candidate_best,classical_candidate_best_geometry_improved,elapsed_total_sec_classical_fair,elapsed_greedy_sec,elapsed_classical_candidate_sec
3,4,17,0,"[1, 1, -1]","[1, 1, 16]","[0, -1, 0, 0]","[-1, 9, -1, -8]","[0, -1, 0, 0]",1.0,"[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,"[-1, 9, -1, -8]","[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,0,"[-1, 9, -1, -8]","[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,"[-1, 9, -1, -8]","[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,240,0.48582995951417,20.501520306650935,0,0,3,1,"[-1, 9, -1, -8]","[1, 1, 16]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-1, 9, -1, -8]",0,0,0,0,0,0.0442027079989202,2.212502295151353e-05,0.0380816670076455,0.002754624991212,8,8,"[('(0, 0, 0, 0)', 240), ('(0, -1, 0, 0)', 56), ('(-1, 0, 0, 0)', 42), ('(0, 0, 0, 1)', 40), ('(0, 0, 1, 0)', 37), ('(-1, 0, 0, 1)', 12), ('(0, -1, 1, 0)', 10), ('(-1, -1, 0, 0)', 9), ('(0, 0, 1, 1)', 8), ('(0, -1, 0, 1)', 7)]",5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,3,1,"[-1, 9, -1, -8]","[1, 1, 16]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0038743329932913184,2.4291977752000093e-05,0.0003345830482430756
3,4,17,1,"[1, 0, 0]","[1, 0, 0]","[-1, 0, 0, 0]","[8, -1, -4, 5]","[-1, 0, 0, 0]",1.0,"[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,"[8, -1, -4, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,0,"[8, -1, -4, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,"[8, -1, -4, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,266,0.5384615384615384,20.491275134159977,0,0,1,1,"[8, -1, -4, 5]","[1, 0, 0]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[8, -1, -4, 5]",0,0,0,0,0,0.0480268750106915,2.1334009943529963e-05,0.0437087090103887,0.0031203330145217,8,8,"[('(0, 0, 0, 0)', 266), ('(0, 0, -1, 0)', 58), ('(0, -1, 0, 0)', 58), ('(0, 0, 0, -1)', 45), ('(0, -1, -1, 0)', 13), ('(0, 0, -1, -1)', 12), ('(0, 1, 0, 0)', 10), ('(-1, 0, 0, 0)', 6), ('(0, -1, 0, -1)', 5), ('(0, 0, 0, 1)', 4)]",5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,1,1,"[8, -1, -4, 5]","[1, 0, 0]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0016287090256810188,2.3875036276876926e-05,0.0004112499882467091
3,4,17,2,"[-1, -1, 0]","[16, 16, 0]","[0, 0, 0, 0]","[-1, 5, -8, -6]","[0, 0, 0, 0]",0.0,"[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,"[-1, 5, -8, -6]","[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,0,"[-1, 5, -8, -6]","[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,"[-1, 5, -8, -6]","[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,438,0.876,9.391550058692482,0,0,2,0,"[-1, 5, -8, -6]","[16, 16, 0]",True,10,10,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-1, 5, -8, -6]",0,0,0,0,0,0.0267844999907538,2.2417021682485935e-05,0.0245120000035967,0.0008889159944374,8,8,"[('(0, 0, 0, 0)', 438), ('(1, 0, 0, 0)', 12), ('(0, 1, 0, 0)', 9), ('(0, 0, 0, 1)', 8), ('(0, 0, 1, 0)', 8), ('(0, -1, 0, 0)', 7), ('(-1, 0, 0, 0)', 7), ('(0, 0, -1, 0)', 5), ('(0, 0, 0, -1)', 5), ('(1, 0, 0, -1)', 1)]",5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,10.0,0,0,2,0,"[-1, 5, -8, -6]","[16, 16, 0]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.001037334033753723,1.9167026039212942e-05,0.00012145901564508677
3,4,17,3,"[0, -1, 0]","[0, 16, 0]","[-1, 0, 0, 0]","[-1, -3, 8, -5]","[-1, 0, 0, 0]",1.0,"[0, 16, 0]",True,"[-1, 0, 0, 0]",1.0,"[-2, -4, 8, -5]","[13, 9, 8]",False,"[0, 0, 0, 0]",1.0,0,"[-1, -3, 8, -5]","[0, 16, 0]",True,"[0, 0, 0, 0]",1.0,"[-1, -3, 8, -5]","[0, 16, 0]",True,"[0, 0, 0, 0]",1.0,271,0.5508130081300813,20.4894197933704,0,0,1,1,"[-1, -3, 8, -5]","[0, 16, 0]",True,17,17,True,False,True,True,0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,"[-1, -3, 8, -5]",0,2,0,0,0,0.0446657919965218,2.095801755785942e-05,0.0421466669940855,0.0014444999978877,8,8,"[('(0, 0, 0, 0)', 271), ('(0, -1, 0, 0)', 89), ('(-1, 0, 0, 0)', 76), ('(-1, -1, 0, 0)', 21), ('(0, 0, 0, -1)', 5), ('(0, 0, 0, 1)', 5), ('(0, 1, 0, 0)', 4), ('(0, -1, 0, 1)', 3), ('(-1, 0, 0, 1)', 3), ('(0, 0, 1, 0)', 3)]",5,True,False,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,21.05,0,0,1,1,"[-1, -3, 8, -5]","[0, 16, 0]",True,1,1,True,False,False,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.001193041040096432,2.2666994482278824e-05,0.00014079100219532847
3,4,17,4,"[1, -1, 1]","[1, 16, 1]","[0, 1, 0, 0]","[-8, -7, 5, -5]","[1, 0, 0, 0]",1.0,"[8, 15, 7]",False,"[0, -1, 0, 0]",1.0,"[-7, -8, 5, -5]","[1, 16, 1]",True,"[0, 0, 0, 0]",1.0,0,"[-8, -7, 5, -5]","[8, 15, 7]",False,"[0, 0, 0, 0]",1.0,"[-8, -7, 5, -5]","[8, 15, 7]",False,"[0, -1, 0, 0]",1.0,44,0.0887096774193548,20.669333751022968,0,0,3,1,"[-7, -8, 5, -5]","[1, 16, 1]",True,20,20,True,True,True,True,0,False,True,True,False,False,True,True,False,True,False,True,True,True,False,False,True,"[-7, -8, 5, -5]",2,0,2,2,0,0.0395256249757949,4.2750005377456546e-05,0.0356015829893294,0.0017444590048398,8,8,"[('(0, 0, 0, 0)', 271), ('(0, 0, -1, 0)', 69), ('(0, -1, 0, 0)', 44), ('(0, 0, 0, 1)', 43), ('(0, -1, -1, 0)', 13), ('(0, 0, -1, 1)', 12), ('(0, -1, 0, 1)', 11), ('(1, 0, 0, 0)', 5), ('(-1, 0, 0, 0)', 5), ('(0, 0, 0, -1)', 4)]",5,False,True,False,False,True,True,True,True,False,False,True,True,True,True,"[0, 0, 0, 0]",1.0,3021.05,3,0,3,1,"[-8, -7, 5, -5]","[8, 15, 7]",False,1,1,False,False,False,True,2,"[('(0, 0, 0, 0)', 1.0)]",False,True,False,False,False,2,2,False,0.000875165977049619,1.8791004549711943e-05,0.00011729204561561346
3,4,17,5,"[0, -1, -1]","[0, 16, 16]","[1, 0, 0, 0]","[4, 2, -3, 7]","[1, 0, 0, 0]",1.0,"[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,"[4, 2, -3, 7]","[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,0,"[4, 2, -3, 7]","[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,"[4, 2, -3, 7]","[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,242,0.4869215291750503,0.5006938556659452,0,0,2,1,"[4, 2, -3, 7]","[0, 16, 16]",True,18,18,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[4, 2, -3, 7]",0,0,0,0,0,0.0648460000229533,2.1750020096078515e-05,0.0621693340071942,0.0014610829821322,8,8,"[('(0, 0, 0, 0)', 242), ('(0, 0, 0, -1)', 63), ('(0, -1, 0, 0)', 59), ('(1, 0, 0, 0)', 46), ('(1, -1, 0, 0)', 21), ('(1, 0, 0, -1)', 20), ('(0, -1, 0, -1)', 15), ('(0, 0, -1, 0)', 6), ('(0, 1, 0, 0)', 5), ('(-1, 0, 0, 0)', 5)]",5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",1.0,1.05,0,0,2,1,"[4, 2, -3, 7]","[0, 16, 16]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 1.0)]",False,False,False,True,False,0,0,False,0.0008082909625954926,1.650000922381878e-05,0.00010437500895932317
3,4,17,6,"[-1, -1, 1]","[16, 16, 1]","[-1, 1, 0, 0]","[8, 3, 6, 8]","[0, 0, 1, 0]",1.0,"[13, 6, 2]",False,"[0, 0, 0, 0]",1.0,"[8, 3, 6, 8]","[13, 6, 2]",False,"[0, 0, 0, 0]",1.0,0,"[8, 3, 6, 8]","[13, 6, 2]",False,"[0, 0, 0, 0]",1.0,"[8, 3, 6, 8]","[13, 6, 2]",False,"[0, 1, 0, 0]",2.0,30,0.0602409638554216,31.75660127955149,0,0,3,2,"[9, 2, 7, 8]","[16, 16, 1]",True,20,20,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,"[9, 2, 7, 8]",3,3,3,3,0,0.0469184159883298,2.087498432956636e-05,0.0419350000156555,0.0038896659971214,8,8,"[('(0, 0, 0, 0)', 269), ('(0, 0, -1, 0)', 61), ('(0, 0, 0, -1)', 55), ('(0, 1, 0, 0)', 30), ('(0, 0, -1, -1)', 16), ('(0, 1, 0, -1)', 15), ('(0, 1, -1, 0)', 11), ('(0, -1, 0, 0)', 7), ('(-1, 0, 0, 0)', 7), ('(1, 0, 0, 0)', 6)]",5,False,False,False,False,True,True,True,True,False,False,True,True,True,True,"[0, 0, 0, 0]",1.0,3021.05,3,0,3,1,"[8, 3, 6, 8]","[13, 6, 2]",False,1,1,False,False,True,True,3,"[('(0, 0, 0, 0)', 1.0)]",False,True,False,False,False,3,3,False,0.0008515829686075449,1.6834004782140255e-05,0.00010475004091858864
3,4,17,7,"[-1, 1, 1]","[16, 1, 1]","[0, 0, 0, 0]","[5, 7, 6, -4]","[0, 0, 0, 0]",0.0,"[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,"[5, 7, 6, -4]","[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,0,"[5, 7, 6, -4]","[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,"[5, 7, 6, -4]","[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,415,0.8316633266533067,29.396931473973872,0,0,3,0,"[5, 7, 6, -4]","[16, 1, 1]",True,11,11,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[5, 7, 6, -4]",0,0,0,0,0,0.0339809169818181,2.5208020815625787e-05,0.0298577499925158,0.0009569169778842,8,8,"[('(0, 0, 0, 0)', 415), ('(0, 0, 0, -1)', 16), ('(0, 0, 0, 1)', 14), ('(0, 0, -1, 0)', 11), ('(0, 0, 1, 0)', 9), ('(0, 1, 0, 0)', 9), ('(1, 0, 0, 0)', 8), ('(-1, 0, 0, 0)', 8), ('(0, -1, 0, 0)', 7), ('(0, 0, 1, -1)', 1)]",5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,30.0,0,0,3,0,"[5, 7, 6, -4]","[16, 1, 1]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.0009354999638162553,1.7417012713849545e-05,0.00010883301729336381
3,4,17,8,"[0, 0, -1]","[0, 0, 16]","[0, 0, 0, 0]","[-3, -5, 7, -6]","[0, 0, 0, 0]",0.0,"[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,"[-3, -5, 7, -6]","[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,0,"[-3, -5, 7, -6]","[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,"[-3, -5, 7, -6]","[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,442,0.8857715430861723,29.390643022995487,0,0,1,0,"[-3, -5, 7, -6]","[0, 0, 16]",True,10,10,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-3, -5, 7, -6]",0,0,0,0,0,0.0441905419866088,2.6666995836421847e-05,0.0406091669865418,0.0022299590054899,8,8,"[('(0, 0, 0, 0)', 442), ('(1, 0, 0, 0)', 13), ('(0, 0, 0, 1)', 9), ('(0, 1, 0, 0)', 8), ('(0, -1, 0, 0)', 8), ('(0, 0, 0, -1)', 5), ('(-1, 0, 0, 0)', 5), ('(0, 0, 1, 0)', 4), ('(0, 0, -1, 0)', 4), ('(1, -1, 0, 0)', 1)]",5,True,True,True,True,True,True,False,False,True,True,True,True,True,True,"[0, 0, 0, 0]",0.0,30.0,0,0,1,0,"[-3, -5, 7, -6]","[0, 0, 16]",True,1,1,True,False,True,True,0,"[('(0, 0, 0, 0)', 0.0)]",False,False,False,True,False,0,0,False,0.0008460000390186906,1.6208970919251442e-05,0.00010200001997873187
3,4,17,9,"[1, 1, -1]","[1, 1, 16]","[0, 0, -1, -1]","[5, -5, -4, -5]","[0, 0, 0, -1]",1.0,"[14, 16, 11]",False,"[0, 0, 0, 0]",1.0,"[5, -5, -4, -5]","[14, 16, 11]",False,"[0, 0, 0, 0]",1.0,0,"[5, -5, -4, -5]","[14, 16, 11]",False,"[0, 0, 0, 0]",1.0,"[5, -5, -4, -5]","[14, 16, 11]",False,"[1, 0, 0, 0]",2.0,5,0.0101626016260162,31.920824053077197,0,0,3,2,"[5, -5, -3, -5]","[1, 1, 16]",True,20,20,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,"[5, -5, -3, -5]",1,1,1,1,0,0.0396257079846691,0.000141500000609,0.0353315839893184,0.0016043329960666,8,8,"[('(0, 0, 0, 0)', 265), ('(0, 0, 0, -1)', 71), ('(0, 0, -1, 0)', 53), ('(0, -1, 0, 0)', 25), ('(0, 0, -1, -1)', 12), ('(0, -1, 0, -1)', 11), ('(0, -1, -1, 0)', 10), ('(0, 0, 1, 0)', 8), ('(0, 1, 0, 0)', 6), ('(-1, 0, 0, 0)', 6)]",5,False,False,False,False,True,True,True,True,False,False,True,True,True,True,"[0, 0, 0, 0]",1.0,2021.05,2,0,3,1,"[5, -5, -4, -5]","[14, 16, 11]",False,1,1,False,False,True,True,1,"[('(0, 0, 0, 0)', 1.0)]",False,True,False,False,False,1,1,False,0.0007953750318847597,1.6042031347751617e-05,0.0001010830164887011
