n,m,q,seed,s_true_centered,s_true_mod_q,e_true,w_babai,residual,initial_residual_energy,s_hat_babai,babai_secret_success,delta_exact,exact_best_energy,w_exact,s_hat_exact,exact_secret_success,delta_classical,classical_best_energy,classical_num_steps,w_classical,s_hat_classical,classical_secret_success,delta_qite_primary,qite_primary_best_energy,w_qite_primary,s_hat_qite_primary,qite_primary_secret_success,delta_qite_candidate_best,qite_candidate_best_energy,qite_candidate_best_count,qite_candidate_best_prob,qite_candidate_best_lwe_prior_score,qite_candidate_best_secret_ternary_violation,qite_candidate_best_noise_ternary_violation,qite_candidate_best_secret_weight,qite_candidate_best_noise_weight,w_qite_candidate_best,s_hat_qite_candidate_best,qite_candidate_best_secret_success,qite_candidate_num_unique,qite_candidate_topk_used,qite_candidate_any_secret_success,qite_candidate_any_geometry_improved,qite_candidate_any_matches_exact_state,qite_candidate_any_matches_exact_energy,min_dist2_true_among_candidates,exact_improvable_energy,exact_improvable_state,babai_fail_but_oracle_fix,babai_fail_but_classical_fix,babai_fail_but_qite_primary_fix,babai_fail_but_qite_candidate_best_fix,babai_fail_but_qite_candidate_any_fix,classical_matches_exact_state,classical_matches_exact_energy,qite_primary_matches_exact_state,qite_primary_matches_exact_energy,qite_candidate_best_matches_exact_state,qite_candidate_best_matches_exact_energy,classical_geometry_improved,qite_primary_geometry_improved,qite_candidate_best_geometry_improved,w_true,dist2_true_babai,dist2_true_exact,dist2_true_classical,dist2_true_qite_primary,dist2_true_qite_candidate_best,elapsed_total_sec,elapsed_classical_sec,elapsed_qite_sec,elapsed_candidate_sec,qite_num_qubits,qite_num_params,decoded_top_states,qite_history_len
3,4,17,0,"[1, 1, -1]","[1, 1, 16]","[0, -1, 0, 0]","[-1, 9, -1, -8]","[0, -1, 0, 0]",1.0,"[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,"[-1, 9, -1, -8]","[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,0,"[-1, 9, -1, -8]","[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,"[-1, 9, -1, -8]","[1, 1, 16]",True,"[0, 0, 0, 0]",1.0,240,0.48582995951417,20.501520306650935,0,0,3,1,"[-1, 9, -1, -8]","[1, 1, 16]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-1, 9, -1, -8]",0,0,0,0,0,0.04420270799892023,2.212502295151353e-05,0.03808166700764559,0.00275462499121204,8,8,"[('(0, 0, 0, 0)', 240), ('(0, -1, 0, 0)', 56), ('(-1, 0, 0, 0)', 42), ('(0, 0, 0, 1)', 40), ('(0, 0, 1, 0)', 37), ('(-1, 0, 0, 1)', 12), ('(0, -1, 1, 0)', 10), ('(-1, -1, 0, 0)', 9), ('(0, 0, 1, 1)', 8), ('(0, -1, 0, 1)', 7)]",5
3,4,17,2,"[-1, -1, 0]","[16, 16, 0]","[0, 0, 0, 0]","[-1, 5, -8, -6]","[0, 0, 0, 0]",0.0,"[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,"[-1, 5, -8, -6]","[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,0,"[-1, 5, -8, -6]","[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,"[-1, 5, -8, -6]","[16, 16, 0]",True,"[0, 0, 0, 0]",0.0,438,0.876,9.391550058692482,0,0,2,0,"[-1, 5, -8, -6]","[16, 16, 0]",True,10,10,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-1, 5, -8, -6]",0,0,0,0,0,0.02678449999075383,2.2417021682485938e-05,0.024512000003596768,0.0008889159944374114,8,8,"[('(0, 0, 0, 0)', 438), ('(1, 0, 0, 0)', 12), ('(0, 1, 0, 0)', 9), ('(0, 0, 0, 1)', 8), ('(0, 0, 1, 0)', 8), ('(0, -1, 0, 0)', 7), ('(-1, 0, 0, 0)', 7), ('(0, 0, -1, 0)', 5), ('(0, 0, 0, -1)', 5), ('(1, 0, 0, -1)', 1)]",5
3,4,17,1,"[1, 0, 0]","[1, 0, 0]","[-1, 0, 0, 0]","[8, -1, -4, 5]","[-1, 0, 0, 0]",1.0,"[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,"[8, -1, -4, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,0,"[8, -1, -4, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,"[8, -1, -4, 5]","[1, 0, 0]",True,"[0, 0, 0, 0]",1.0,266,0.5384615384615384,20.491275134159977,0,0,1,1,"[8, -1, -4, 5]","[1, 0, 0]",True,20,20,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[8, -1, -4, 5]",0,0,0,0,0,0.04802687501069158,2.1334009943529963e-05,0.0437087090103887,0.003120333014521748,8,8,"[('(0, 0, 0, 0)', 266), ('(0, 0, -1, 0)', 58), ('(0, -1, 0, 0)', 58), ('(0, 0, 0, -1)', 45), ('(0, -1, -1, 0)', 13), ('(0, 0, -1, -1)', 12), ('(0, 1, 0, 0)', 10), ('(-1, 0, 0, 0)', 6), ('(0, -1, 0, -1)', 5), ('(0, 0, 0, 1)', 4)]",5
3,4,17,3,"[0, -1, 0]","[0, 16, 0]","[-1, 0, 0, 0]","[-1, -3, 8, -5]","[-1, 0, 0, 0]",1.0,"[0, 16, 0]",True,"[-1, 0, 0, 0]",1.0,"[-2, -4, 8, -5]","[13, 9, 8]",False,"[0, 0, 0, 0]",1.0,0,"[-1, -3, 8, -5]","[0, 16, 0]",True,"[0, 0, 0, 0]",1.0,"[-1, -3, 8, -5]","[0, 16, 0]",True,"[0, 0, 0, 0]",1.0,271,0.5508130081300813,20.489419793370402,0,0,1,1,"[-1, -3, 8, -5]","[0, 16, 0]",True,17,17,True,False,True,True,0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,"[-1, -3, 8, -5]",0,2,0,0,0,0.044665791996521875,2.095801755785942e-05,0.042146666994085535,0.0014444999978877604,8,8,"[('(0, 0, 0, 0)', 271), ('(0, -1, 0, 0)', 89), ('(-1, 0, 0, 0)', 76), ('(-1, -1, 0, 0)', 21), ('(0, 0, 0, -1)', 5), ('(0, 0, 0, 1)', 5), ('(0, 1, 0, 0)', 4), ('(0, -1, 0, 1)', 3), ('(-1, 0, 0, 1)', 3), ('(0, 0, 1, 0)', 3)]",5
3,4,17,4,"[1, -1, 1]","[1, 16, 1]","[0, 1, 0, 0]","[-8, -7, 5, -5]","[1, 0, 0, 0]",1.0,"[8, 15, 7]",False,"[0, -1, 0, 0]",1.0,"[-7, -8, 5, -5]","[1, 16, 1]",True,"[0, 0, 0, 0]",1.0,0,"[-8, -7, 5, -5]","[8, 15, 7]",False,"[0, 0, 0, 0]",1.0,"[-8, -7, 5, -5]","[8, 15, 7]",False,"[0, -1, 0, 0]",1.0,44,0.08870967741935484,20.669333751022968,0,0,3,1,"[-7, -8, 5, -5]","[1, 16, 1]",True,20,20,True,True,True,True,0,False,True,True,False,False,True,True,False,True,False,True,True,True,False,False,True,"[-7, -8, 5, -5]",2,0,2,2,0,0.039525624975794926,4.2750005377456546e-05,0.03560158298932947,0.0017444590048398823,8,8,"[('(0, 0, 0, 0)', 271), ('(0, 0, -1, 0)', 69), ('(0, -1, 0, 0)', 44), ('(0, 0, 0, 1)', 43), ('(0, -1, -1, 0)', 13), ('(0, 0, -1, 1)', 12), ('(0, -1, 0, 1)', 11), ('(1, 0, 0, 0)', 5), ('(-1, 0, 0, 0)', 5), ('(0, 0, 0, -1)', 4)]",5
3,4,17,7,"[-1, 1, 1]","[16, 1, 1]","[0, 0, 0, 0]","[5, 7, 6, -4]","[0, 0, 0, 0]",0.0,"[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,"[5, 7, 6, -4]","[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,0,"[5, 7, 6, -4]","[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,"[5, 7, 6, -4]","[16, 1, 1]",True,"[0, 0, 0, 0]",0.0,415,0.8316633266533067,29.396931473973872,0,0,3,0,"[5, 7, 6, -4]","[16, 1, 1]",True,11,11,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[5, 7, 6, -4]",0,0,0,0,0,0.033980916981818154,2.5208020815625787e-05,0.029857749992515892,0.0009569169778842479,8,8,"[('(0, 0, 0, 0)', 415), ('(0, 0, 0, -1)', 16), ('(0, 0, 0, 1)', 14), ('(0, 0, -1, 0)', 11), ('(0, 0, 1, 0)', 9), ('(0, 1, 0, 0)', 9), ('(1, 0, 0, 0)', 8), ('(-1, 0, 0, 0)', 8), ('(0, -1, 0, 0)', 7), ('(0, 0, 1, -1)', 1)]",5
3,4,17,6,"[-1, -1, 1]","[16, 16, 1]","[-1, 1, 0, 0]","[8, 3, 6, 8]","[0, 0, 1, 0]",1.0,"[13, 6, 2]",False,"[0, 0, 0, 0]",1.0,"[8, 3, 6, 8]","[13, 6, 2]",False,"[0, 0, 0, 0]",1.0,0,"[8, 3, 6, 8]","[13, 6, 2]",False,"[0, 0, 0, 0]",1.0,"[8, 3, 6, 8]","[13, 6, 2]",False,"[0, 1, 0, 0]",2.0,30,0.060240963855421686,31.756601279551486,0,0,3,2,"[9, 2, 7, 8]","[16, 16, 1]",True,20,20,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,"[9, 2, 7, 8]",3,3,3,3,0,0.0469184159883298,2.087498432956636e-05,0.04193500001565553,0.003889665997121483,8,8,"[('(0, 0, 0, 0)', 269), ('(0, 0, -1, 0)', 61), ('(0, 0, 0, -1)', 55), ('(0, 1, 0, 0)', 30), ('(0, 0, -1, -1)', 16), ('(0, 1, 0, -1)', 15), ('(0, 1, -1, 0)', 11), ('(0, -1, 0, 0)', 7), ('(-1, 0, 0, 0)', 7), ('(1, 0, 0, 0)', 6)]",5
3,4,17,5,"[0, -1, -1]","[0, 16, 16]","[1, 0, 0, 0]","[4, 2, -3, 7]","[1, 0, 0, 0]",1.0,"[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,"[4, 2, -3, 7]","[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,0,"[4, 2, -3, 7]","[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,"[4, 2, -3, 7]","[0, 16, 16]",True,"[0, 0, 0, 0]",1.0,242,0.4869215291750503,0.5006938556659452,0,0,2,1,"[4, 2, -3, 7]","[0, 16, 16]",True,18,18,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[4, 2, -3, 7]",0,0,0,0,0,0.06484600002295338,2.1750020096078515e-05,0.062169334007194266,0.0014610829821322113,8,8,"[('(0, 0, 0, 0)', 242), ('(0, 0, 0, -1)', 63), ('(0, -1, 0, 0)', 59), ('(1, 0, 0, 0)', 46), ('(1, -1, 0, 0)', 21), ('(1, 0, 0, -1)', 20), ('(0, -1, 0, -1)', 15), ('(0, 0, -1, 0)', 6), ('(0, 1, 0, 0)', 5), ('(-1, 0, 0, 0)', 5)]",5
3,4,17,9,"[1, 1, -1]","[1, 1, 16]","[0, 0, -1, -1]","[5, -5, -4, -5]","[0, 0, 0, -1]",1.0,"[14, 16, 11]",False,"[0, 0, 0, 0]",1.0,"[5, -5, -4, -5]","[14, 16, 11]",False,"[0, 0, 0, 0]",1.0,0,"[5, -5, -4, -5]","[14, 16, 11]",False,"[0, 0, 0, 0]",1.0,"[5, -5, -4, -5]","[14, 16, 11]",False,"[1, 0, 0, 0]",2.0,5,0.01016260162601626,31.920824053077197,0,0,3,2,"[5, -5, -3, -5]","[1, 1, 16]",True,20,20,True,True,True,True,0,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,"[5, -5, -3, -5]",1,1,1,1,0,0.039625707984669134,0.00014150000060908496,0.03533158398931846,0.0016043329960666597,8,8,"[('(0, 0, 0, 0)', 265), ('(0, 0, 0, -1)', 71), ('(0, 0, -1, 0)', 53), ('(0, -1, 0, 0)', 25), ('(0, 0, -1, -1)', 12), ('(0, -1, 0, -1)', 11), ('(0, -1, -1, 0)', 10), ('(0, 0, 1, 0)', 8), ('(0, 1, 0, 0)', 6), ('(-1, 0, 0, 0)', 6)]",5
3,4,17,8,"[0, 0, -1]","[0, 0, 16]","[0, 0, 0, 0]","[-3, -5, 7, -6]","[0, 0, 0, 0]",0.0,"[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,"[-3, -5, 7, -6]","[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,0,"[-3, -5, 7, -6]","[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,"[-3, -5, 7, -6]","[0, 0, 16]",True,"[0, 0, 0, 0]",0.0,442,0.8857715430861723,29.390643022995487,0,0,1,0,"[-3, -5, 7, -6]","[0, 0, 16]",True,10,10,True,False,True,True,0,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,"[-3, -5, 7, -6]",0,0,0,0,0,0.04419054198660888,2.6666995836421847e-05,0.04060916698654182,0.0022299590054899454,8,8,"[('(0, 0, 0, 0)', 442), ('(1, 0, 0, 0)', 13), ('(0, 0, 0, 1)', 9), ('(0, 1, 0, 0)', 8), ('(0, -1, 0, 0)', 8), ('(0, 0, 0, -1)', 5), ('(-1, 0, 0, 0)', 5), ('(0, 0, 1, 0)', 4), ('(0, 0, -1, 0)', 4), ('(1, -1, 0, 0)', 1)]",5
