step,E_before,E_after,dot_theta_norm,theta,t_energy_before,t_build_A_C,t_update,t_energy_after,t_step_total
0,2.664999999999999,1.9624999999999972,2.78302957717161,"[0.8334365002152906, 0.27384961225561144, 0.258749448769019, 0.9812114801697974, 0.8309874503384034, 0.2810493514139021, 0.2765675603924493, 0.27124851906230596, 0.2721140281792916, 0.97609134770057, 0.8278932975102795, 0.27177493540659337, 0.27203835936881593, 0.9760797928005913, 0.27298990368167375, 0.8135346349374236]",0.0070567920338362455,0.44976049999240786,0.00037229107692837715,0.004589624935761094,0.4617792080389336
1,2.467499999999996,1.8899999999999983,2.7531496414028163,"[0.8310070535044083, 0.26302329698785776, 0.25062643859373046, 0.9812363609855786, 0.8217048459686894, 0.27304930548415385, 0.2716512524806011, 0.2618580913864174, 0.2634869983841114, 0.9696449807787372, 0.8136610508542711, 0.26484126347629855, 0.24635790557129222, 0.9712674691788942, 0.25325214054074524, 0.7888455750470571]",0.0046235829358920455,0.42968391708564013,4.4332933612167835e-05,0.004207750083878636,0.438559583039023
2,2.2774999999999967,2.0449999999999964,2.9312823572671234,"[0.8269391458171458, 0.2441640665529958, 0.2481384184122683, 0.9824205488969907, 0.8111244572726195, 0.2618574823800202, 0.2683804905870944, 0.25279630855456664, 0.2497927947152963, 0.9602119630176672, 0.8040341775907863, 0.24843410517765047, 0.23355959623337605, 0.961846587914175, 0.23274160376495437, 0.7669696231090439]",0.004579207976348698,0.4307908749906346,4.375004209578037e-05,0.004625124973244965,0.44003895798232406
3,2.3500000000000014,1.847499999999997,2.66141277150196,"[0.8286678203780933, 0.23023382941626475, 0.22652239160185667, 0.9785813626669567, 0.8063489958475444, 0.24993485828760542, 0.2635802042779011, 0.24595740798298274, 0.23225159286121638, 0.9572263059791138, 0.7828939988596627, 0.2303023820544005, 0.22662783368642184, 0.9520471639737946, 0.22403808559797386, 0.7504137424572422]",0.004358291975222528,0.4325778749771416,6.337498780339956e-05,0.00444200006313622,0.44144154200330377
4,2.352499999999993,1.9350000000000007,3.309062727566351,"[0.821718035170178, 0.22784869865685287, 0.2160224717968262, 0.9801953531911332, 0.7959279502067204, 0.2356795176715696, 0.2589506926873973, 0.24854899379937792, 0.22264332389615732, 0.9546581670182828, 0.7607378730370012, 0.21707225990276305, 0.20988257575145786, 0.9366978881247604, 0.21172363400744257, 0.7267345771775117]",0.004581583081744611,0.4297310420079157,5.879090167582035e-05,0.00428741704672575,0.43865883303806186
5,1.8325000000000007,1.6800000000000033,2.7602316961687587,"[0.8258702204076563, 0.21537346376662264, 0.20416492717616097, 0.9734067617935209, 0.7850318137823196, 0.22118584715204886, 0.25655266322187215, 0.2423282474792915, 0.19473949627002757, 0.9539545518942129, 0.7469179369469044, 0.20686135478462986, 0.19808357008866992, 0.9319890899884378, 0.2013824657862516, 0.706131177739727]",0.0040811250219121575,0.42638695798814297,4.566693678498268e-05,0.003978041000664234,0.43449179094750434
6,2.0075000000000016,1.7125000000000008,2.363875438425445,"[0.8218176857297158, 0.19938879477278323, 0.1901421277500106, 0.9640218093952807, 0.7718111715360858, 0.21120710691223174, 0.24705804085312916, 0.24220660718804346, 0.17523473557262037, 0.9446787056186248, 0.7253011680609764, 0.21026404031968912, 0.19097754517626533, 0.9286607567849396, 0.19470443690419592, 0.6899299064981201]",0.004271249985322356,0.4290808340301737,4.4082989916205406e-05,0.004190291976556182,0.43758645898196846
7,1.4799999999999986,1.8049999999999977,1.9860002312998326,"[0.8166942710230696, 0.1905533134567473, 0.17667340425865866, 0.9618892199626466, 0.7633518787743157, 0.20652353677784105, 0.24109833950227705, 0.23394949495394163, 0.15978166338705313, 0.9406671293080292, 0.7192670165403763, 0.20213833307208048, 0.17865588095747462, 0.9206224161438671, 0.18543246612652212, 0.6691819007071734]",0.004178582923486829,0.4218746670521796,3.98330157622695e-05,0.004330207942984998,0.43042329093441367
8,1.6349999999999993,1.880000000000001,1.9826775744998417,"[0.8118676298848843, 0.1891245364738311, 0.17704337592660993, 0.9625573717657193, 0.759622947839118, 0.1969724361311161, 0.24008964731505228, 0.22885386832083526, 0.15227851558646566, 0.9328801586582474, 0.7046696893791626, 0.18920617027606063, 0.16141296789585236, 0.9065318908234196, 0.1852923431577512, 0.6486579116064254]",0.004250708967447281,0.4272001660428941,3.616698086261749e-05,0.004222874995321035,0.43570991698652506
9,1.7099999999999995,1.515000000000001,2.125115071411433,"[0.813232648398267, 0.17868567504133992, 0.1563473257807756, 0.9597763284158168, 0.7518828865374705, 0.1789010483449127, 0.24060417327076478, 0.22056603279933654, 0.13974324184056963, 0.9254573022793092, 0.6925895461425194, 0.17561080668550333, 0.16922411053337205, 0.8991692810964589, 0.18232716632816232, 0.6369487114663122]",0.004224875010550022,0.4210625420091674,3.945792559534311e-05,0.004110209061764181,0.4294370840070769
