delta,count,prob,energy,s_hat,secret_success,w_candidate,dist2_true,geometry_improved,matches_exact_state,matches_exact_energy,l1_norm,l0_norm,s_centered,e_hat_centered,secret_ternary_violation,noise_ternary_violation,secret_weight,target_secret_weight,secret_weight_gap,noise_weight,target_noise_weight,noise_weight_gap,noise_l2,lwe_prior_score,candidate_id,source,delta_key,is_selected,is_energy_min,rank_by_energy,rank_by_lwe_prior,rank_by_count,is_primary
"[0, 0, 0, 0, 0, 0, 0, 0]",207,0.414,3.0,"[8, 11, 10, 13, 11, 11]",False,"[-8, 4, 3, -4, -1, 3, -8, -2]",8,False,False,False,0,0,"[8, -6, -7, -4, -6, -6]","[1, 1, 0, 0, 0, 0, 0, 1]",6,0,6,3,3,3,2,1,3.0,6072.616246192029,0,VarQITE candidates,"(0, 0, 0, 0, 0, 0, 0, 0)",False,False,2,11,1,False
"[0, 1, 0, 0, 0, 0, 0, 0]",46,0.092,4.0,"[9, 4, 13, 12, 11, 0]",False,"[-7, 5, 3, -4, -2, 4, -7, -2]",7,True,False,False,1,1,"[-8, 4, -4, -5, -6, 0]","[0, 0, 0, 0, 1, -1, -1, 1]",5,0,5,3,2,4,2,2,4.0,5063.814985239829,1,VarQITE candidates,"(0, 1, 0, 0, 0, 0, 0, 0)",False,False,5,4,2,False
"[0, 0, 0, 0, 1, 0, 0, 0]",44,0.088,6.0,"[0, 7, 14, 1, 16, 12]",False,"[-8, 5, 3, -4, 0, 1, -8, -1]",5,True,False,False,1,1,"[0, 7, -3, 1, -1, -5]","[1, 0, 0, 0, -1, 2, 0, 0]",3,1,5,3,2,3,2,1,6.0,4055.9193337510233,2,VarQITE candidates,"(0, 0, 0, 0, 1, 0, 0, 0)",False,False,9,2,3,False
"[0, 0, 0, 0, 0, 0, 1, 0]",29,0.058,5.0,"[11, 11, 7, 7, 0, 14]",False,"[-8, 4, 3, -4, 0, 3, -9, 0]",12,False,False,False,1,1,"[-6, -6, 7, 7, 0, -3]","[1, 1, 0, 0, -1, 0, 1, -1]",5,0,5,3,2,5,2,3,5.0,5074.909880261834,3,VarQITE candidates,"(0, 0, 0, 0, 0, 0, 1, 0)",False,False,6,6,4,False
"[-1, 0, 0, 0, 0, 0, 0, 0]",25,0.05,3.0,"[1, 3, 9, 3, 4, 13]",False,"[-7, 4, 2, -4, -1, 3, -8, -2]",8,False,False,False,1,1,"[1, 3, -8, 3, 4, -4]","[0, 1, 1, 0, 0, 0, 0, 1]",5,0,6,3,3,3,2,1,3.0,5072.824190346198,4,VarQITE candidates,"(-1, 0, 0, 0, 0, 0, 0, 0)",False,False,3,5,5,False
"[0, 0, 0, 0, 0, -1, 0, 0]",17,0.034,7.0,"[6, 5, 7, 2, 8, 5]",False,"[-7, 3, 4, -4, -2, 3, -9, -1]",16,False,False,False,1,1,"[6, 5, 7, 2, 8, 5]","[0, 2, -1, 0, 1, 0, 1, 0]",6,1,6,3,3,4,2,2,7.0,7087.060962824211,5,VarQITE candidates,"(0, 0, 0, 0, 0, -1, 0, 0)",False,False,14,16,6,False
"[0, 0, -1, 0, 0, 0, 0, 0]",17,0.034,6.0,"[6, 3, 5, 8, 14, 2]",False,"[-8, 5, 3, -5, -2, 4, -9, -2]",13,False,False,False,1,1,"[6, 3, 5, 8, -3, 2]","[1, 0, 0, 1, 1, -1, 1, 1]",6,0,6,3,3,6,2,4,6.0,6106.010962824211,6,VarQITE candidates,"(0, 0, -1, 0, 0, 0, 0, 0)",False,False,10,14,7,False
"[0, 1, 0, 0, 0, 0, 1, 0]",11,0.022,2.0,"[12, 4, 10, 6, 0, 3]",False,"[-7, 5, 3, -4, -1, 4, -8, 0]",7,True,True,True,2,2,"[-5, 4, -7, 6, 0, 3]","[0, 0, 0, 0, 0, -1, 0, -1]",5,0,5,3,2,2,2,0,2.0,5041.851509335022,7,VarQITE candidates,"(0, 1, 0, 0, 0, 0, 1, 0)",False,True,1,3,8,True
"[-1, 1, 0, 0, 0, 0, 0, 0]",11,0.022,6.0,"[2, 13, 12, 2, 4, 2]",False,"[-6, 5, 2, -4, -2, 4, -7, -2]",9,False,False,False,2,2,"[2, -4, -5, 2, 4, 2]","[-1, 0, 1, 0, 1, -1, -1, 1]",6,0,6,3,3,6,2,4,6.0,6106.051509335021,8,VarQITE candidates,"(-1, 1, 0, 0, 0, 0, 0, 0)",False,False,11,15,9,False
"[0, 1, 0, 0, 1, 0, 0, 0]",9,0.018,3.0,"[1, 0, 0, 0, 16, 1]",True,"[-7, 6, 3, -4, -1, 2, -7, -1]",0,True,False,False,2,2,"[1, 0, 0, 0, -1, 1]","[0, -1, 0, 0, 0, 1, -1, 0]",0,0,3,3,0,3,2,1,3.0,12.919741490700595,9,VarQITE candidates,"(0, 1, 0, 0, 1, 0, 0, 0)",True,False,4,1,10,False
